肖申克的救赎,弗兰克·德拉邦特FrankDarabont,1994
霸王别姬,陈凯歌KaigeChen,1993
阿甘正传,罗伯特·泽米吉斯RobertZemeckis,1994
这个杀手不太冷,吕克·贝松LucBesson,1994
美丽人生,罗伯托·贝尼尼RobertoBenigni,1997
泰坦尼克号,詹姆斯·卡梅隆JamesCameron,1997
千与千寻,宫崎骏HayaoMiyazaki,2001
辛德勒的名单,史蒂文·斯皮尔伯格StevenSpielberg,1993
盗梦空间,克里斯托弗·诺兰ChristopherNolan,2010
忠犬八公的故事,莱塞·霍尔斯道姆LasseHallström,2009
海上钢琴师,朱塞佩·托纳多雷GiuseppeTornatore,1998
楚门的世界,彼得·威尔PeterWeir,1998
三傻大闹宝莱坞,拉库马·希拉尼RajkumarHirani,2009
机器人总动员,安德鲁·斯坦顿AndrewStanton,2008
放牛班的春天,克里斯托夫·巴拉蒂ChristopheBarratier,2004
星际穿越,克里斯托弗·诺兰ChristopherNolan,2014
大话西游之大圣娶亲,刘镇伟JeffreyLau,1995
熔炉,黄东赫Dong-hyukHwang,2011
疯狂动物城,拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore,2016
无间道,刘伟强/麦兆辉,2002
龙猫,宫崎骏HayaoMiyazaki,1988
教父,弗朗西斯·福特·科波拉FrancisFordCoppola,1972
当幸福来敲门,加布里尔·穆奇诺GabrieleMuccino,2006
怦然心动,罗伯·莱纳RobReiner,2010
触不可及,奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano,2011
